행정구,법정동,업종,이름,도로명주소,,
강서구,내발산동,노인의료복지시설,호선실버센터,서울특별시 강서구 수명로2길 96-0,,
강북구,수유동,노인의료복지시설,강북노인전문요양원,서울특별시 강북구 삼양로92길 20(수유동),,
동대문구,휘경동,노인의료복지시설,유자원,서울특별시 동대문구 망우로 82 (휘경동),,
성동구,홍익동,노인의료복지시설,시립동부노인전문요양센터,서울특별시 성동구 마장로23길 12 (홍익동),,
송파구,마천동,노인의료복지시설,청암노인요양원,서울특별시 송파구 성내천로 193 (마천동),,
서초구,서초동,노인의료복지시설,서초성심노인복지센터,서울특별시 서초구 반포대로22길 61 (서초동 1558-15),,
성북구,삼선동3가,노인의료복지시설,일광노인요양센터,서울특별시 성북구 보문로31길 70 (삼선동3가),,
동작구,상도1동,노인의료복지시설,청남노인요양공동생활가정,서울특별시 동작구 강남초등8길 20-04층,,
광진구,중곡동,노인의료복지시설,사랑이있는집노인요양공동생활가정,서울특별시 광진구 용마산로8마길 7-10(중곡동),,
용산구,효창동,노인의료복지시설,구립용산노인전문요양원,서울특별시 용산구 효창원로93길 51 (효창동),,
영등포구,문래동3가,노인의료복지시설,구립영등포노인케어센터,서울특별시 영등포구 도림로 482,,
금천구,독산동,노인의료복지시설,남부실버요양센터 다솔관,서울특별시 금천구 범안로12가길 59,,
종로구,평창동,노인의료복지시설,아름다운실버홈,서울특별시 종로구 평창길 123 (평창동),,
강동구,천호동,노인의료복지시설,성암장수마을,서울특별시 강동구 구천면로68길 46 (천호동),,
종로구,신영동,노인의료복지시설,북악실버홈 (휴지중),서울특별시 종로구 진흥로 493-6 (신영동),,
강북구,미아동,노인의료복지시설,e-포근한 요양원,서울특별시 강북구 도봉로 266 (미아동),,
양천구,신월동,노인의료복지시설,양천사랑마루,서울특별시 양천구 곰달래로6길 17-1 (신월동),,
영등포구,대림동,노인의료복지시설,서울성모원 노인요양공동생활가정,서울특별시 영등포구 대림로12가길 7-1,,
강북구,번동,노인의료복지시설,효노인복지센터,서울특별시 강북구 오현로 194덕수빌딩 2층 (번동),,
강서구,방화동,노인의료복지시설,봄날실버센터,서울특별시 강서구 금낭화로 39봄날실버센터,,
강서구,등촌동,노인의료복지시설,시니어스너싱홈,서울특별시 강서구 화곡로68길 102,,
강서구,화곡동,노인의료복지시설,한마음노인전문요양원,서울특별시 강서구 초록마을로14길 44 (화곡동),,
은평구,진관동,노인의료복지시설,붓다마을,서울특별시 은평구 연서로48길 41 (진관동),,
강북구,미아동,노인의료복지시설,민영요양센터,서울특별시 강북구 삼양로 184미아동 유유빌딩5층,,
강남구,역삼동,노인의료복지시설,구립 역삼노인요양센터,서울특별시 강남구 도곡로27길 27 (역삼동),,
양천구,신월동,노인의료복지시설,신목동노인복지센터,서울특별시 양천구 중앙로 291대지빌딩 5층,,
중랑구,묵동,노인의료복지시설,로뎀노인요양공동생활가정,서울특별시 중랑구 동일로169길 40 ,,
성북구,하월곡동,노인의료복지시설,진각노인요양센터,서울특별시 성북구 화랑로13길 17진각노인요양센터 (하월곡동),,
은평구,인송빌딩,노인의료복지시설,시온노인요양원,서울특별시 은평구 갈현로 270 인송빌딩  4층인송빌딩 4층,,
양천구,신정동,노인의료복지시설,구립양천어르신요양센터,서울특별시 양천구 신월로 26 (신정동),,
관악구,신림동,노인의료복지시설,관악실버케어,서울특별시 관악구 대학18길 34-7 (신림동),,
영등포구,대림동,노인의료복지시설,미래요양원2,서울특별시 영등포구 대림로 88재상빌딩 402호,,
은평구,구산동,노인의료복지시설,해피안,서울특별시 은평구 연서로15길 27-2(구산동),,
성북구,종암동,노인의료복지시설,백마요양원,서울특별시 성북구 종암로18길 14 (종암동),,
노원구,공릉동,노인의료복지시설,노원사랑요양원1,서울특별시 노원구 동일로174길 44 301호,,
도봉구,방학동,노인의료복지시설,도봉실버센터,서울특별시 도봉구 시루봉로 133,,
송파구,오금동,노인의료복지시설,굿모닝케어노인전문요양원,서울특별시 송파구 성내천로16길 17,,
광진구,중곡동,노인의료복지시설,므두셀라실버타운,서울특별시 광진구 능동로 360 (중곡동),,
노원구,월계동,노인의료복지시설,주사랑노인종합복지센터,서울특별시 노원구 광운로 48 2층,,
중랑구,신내동,노인의료복지시설,한세노인복지센터,서울특별시 중랑구 신내로 50 53층,,
서대문구,연희동,노인의료복지시설,연궁너싱홈,서울특별시 서대문구 증가로 49 2층,,
양천구,신정동,노인의료복지시설,예덕너싱홈,서울특별시 양천구 중앙로 232,,
서초구,양재동,노인의료복지시설,함춘요양원,서울특별시 서초구 논현로1길 13 (양재동 402-3),,
노원구,공릉동,노인의료복지시설,노원사랑요양원2,서울특별시 노원구 동일로174길 44 302호,,
은평구,녹번동,노인의료복지시설,녹번실버,서울특별시 은평구 통일로57길 5-10(녹번동),,
강서구,화곡동,노인의료복지시설,케어콜,서울특별시 강서구 강서로5나길 74 3층,,
송파구,장지동,노인의료복지시설,구립송파노인요양센터,서울특별시 송파구 충민로 184,,
관악구,신림동,노인의료복지시설,미성요양원,서울특별시 관악구 난곡로63가길 421.3층 (신림동),,
중랑구,중화동,노인의료복지시설,베스트그린요양원2호점,서울특별시 중랑구 동일로 775 그린프라자 6층,,
종로구,평창동,노인의료복지시설,아름다운뜰안에요양원,서울특별시 종로구 평창21길 70 (평창동),,
노원구,공릉동,노인의료복지시설,노원사랑요양원3,서울특별시 노원구 동일로174길 44 201호,,
강남구,대치동,노인의료복지시설,구립대치노인요양센터,서울특별시 강남구 역삼로69길 22,,
구로구,오류동,노인의료복지시설,행복요양원,서울특별시 구로구 경인로23길 87층 (오류동)(오류동),,
관악구,신림동,노인의료복지시설,법화노인요양원,서울특별시 관악구 법원단지길 153 (신림동),,
동작구,신대방동,노인의료복지시설,보라매요양원3호점,서울특별시 동작구 보라매로 88-088 (신대방동),,
강동구,천호동,노인의료복지시설,늘편한요양센터2호,서울특별시 강동구 구천면로318 2층 (천호동),,
금천구,시흥동,노인의료복지시설,실버캐슬,서울특별시 금천구 시흥대로 202대의빌딩 6층 (시흥동),,
강북구,수유동,노인의료복지시설,거목실버홈,서울특별시 강북구 한천로1160 3층 (수유동),,
강북구,수유동,노인의료복지시설,거목요양홈,서울특별시 강북구 한천로1160 3층 (수유동),,
금천구,시흥동,노인의료복지시설,금천구립사랑채요양원,서울특별시 금천구 금하로 764-0,,
동대문구,답십리동,노인의료복지시설,맑은샘요양원,서울특별시 동대문구 한천로37길19 2층 (답십리동 창승빌딩 A동),,
은평구,녹번동,노인의료복지시설,노블케어스,서울특별시 은평구 응암로 353 (녹번동),,
도봉구,방학동,노인의료복지시설,수노인요양공동생활가정2호점,서울특별시 도봉구 도당로80 5층 (방학동),,
강서구,등촌동,노인의료복지시설,선화요양원,서울특별시 강서구 등촌로 1833층 (등촌동),,
중랑구,해성빌딩,노인의료복지시설,두레노인요양원C,서울특별시 중랑구 신내로 45-0 해성빌딩 501호,,
중구,신당동,노인의료복지시설,효심원 노인요양공동생활가정,서울특별시 중구 청구로17길98 (신당동),,
서대문구,충정로3가,노인의료복지시설,중앙실버노인요양공동생활가정,서울특별시 서대문구 충정로4길5-25 (충정로3가),,
도봉구,참빛빌딩,노인의료복지시설,참빛요양센터,서울특별시 도봉구 도봉로141길 11(쌍문동 참빛빌딩),,
성북구,정릉동,노인의료복지시설,청화요양원,서울특별시 성북구 서경로 67 (정릉동),,
마포구,창전동,노인의료복지시설,샬렘요양원,서울특별시 마포구 서강로1길12-6 (창전동 6 7층),,
도봉구,방학동,노인의료복지시설,가원노인요양공동생활가정1호점,서울특별시 도봉구 방학로169 5층 (방학동),,
성북구,안암동1가,노인의료복지시설,보문요양원,서울특별시 성북구 인촌로7길 322~5층 (안암동1가),,
종로구,평창동,노인의료복지시설,세검정실버홈,서울특별시 종로구 평창2길 5 (평창동),,
도봉구,방학동,노인의료복지시설,가원노인요양공동생활가정2호점,서울특별시 도봉구 방학로169 4층 (방학동),,
영등포구,대림동,노인의료복지시설,대림실버1 노인요양공동생활가정,서울특별시 영등포구 디지털로398 2층 (대림동 대성빌딩),,
영등포구,대림동,노인의료복지시설,대림실버2노인요양공동생활가정,서울특별시 영등포구 디지털로398 5층 (대림동 대성빌딩),,
강서구,화곡동,노인의료복지시설,케어콜요양원,서울특별시 강서구 강서로5나길74 4층 (화곡동),,
중랑구,망우동,노인의료복지시설,늘푸른요양원2호점,서울특별시 중랑구 용마산로488 3층 (망우동 유진빌딩),,
동대문구,장안동,노인의료복지시설,은천요양원,서울특별시 동대문구 장한로27가길53 (장안동),,
구로구,개봉동,노인의료복지시설,미소들실버케어센터,서울특별시 구로구 고척로21나길 88-41 (개봉동),,
은평구,녹번동,노인의료복지시설,노블타운요양원,서울특별시 은평구 서오릉로 35 (녹번동),,
도봉구,창동,노인의료복지시설,도봉효드림요양원,서울특별시 도봉구 마들로13길175 6층 (창동),,
성동구,성수동2가,노인의료복지시설,서울숲 요양원,서울특별시 성동구 뚝섬로401-2 4층 (성수동2가),,
구로구,개봉동,노인의료복지시설,구로푸른요양원,서울특별시 구로구 개봉로3길 9 (개봉동),,
노원구,상계동,노인의료복지시설,수요양원,서울특별시 노원구 동일로237다길16 3층 (상계동),,
송파구,석촌동,노인의료복지시설,보눔케어요양원,서울특별시 송파구 가락로 27 (석촌동),,
광진구,구의동,노인의료복지시설,광진소규모요양시설,서울특별시 광진구 자양로51길 11-25 (구의동),,
강북구,수유동,노인의료복지시설,거목노인요양원,서울특별시 강북구 한천로 1160 (수유동),,
성동구,용답동,노인의료복지시설,한마음너싱홈,서울특별시 성동구 용답중앙길 91 (용답동),,
양천구,신정동,노인의료복지시설,신목행복자리어르신요양센터,서울특별시 양천구 신목로 10현대아파트 단지 내 106동 앞 (신정동 목동현대아파트),(신정동,목동현대아파트)
중구,신당동,노인의료복지시설,남산실버복지센터,서울특별시 중구 동호로5길 189 (신당동),,
도봉구,방학동,노인의료복지시설,(주)도봉늘푸른요양원,서울특별시 도봉구 방학로 115-03층,,
강서구,개화동,노인의료복지시설,행복한집,서울특별시 강서구 개화동로11길 3-12,,
강동구,길동,노인의료복지시설,그랜드너싱홈,서울특별시 강동구 양재대로 1465마루홈타운 301호 (길동),,
성북구,길음동,노인의료복지시설,길음안나의집 노인전문요양원,서울특별시 성북구 길음로9길 46 (길음동),,
양천구,신월동,노인의료복지시설,나이팅게일너싱홈,서울특별시 양천구 오목로 22 뉴스타빌딩 202호,,
양천구,신정동,노인의료복지시설,보람의집,서울특별시 양천구 목동로23길 34 205호,,
광진구,군자동,노인의료복지시설,광진한울촌노인요양시설,서울특별시 광진구 군자로 79,,
동작구,신대방동,노인의료복지시설,정성노인요양원,서울특별시 동작구 보라매로 89 거성빌딩 5층,,
송파구,삼전동,노인의료복지시설,시립송파노인전문요양원,서울특별시 송파구 백제고분로32길 37,,
성북구,하월곡동,노인의료복지시설,부모섬김노인요양원,서울특별시 성북구 오패산로 98로만프라자 3층 (하월곡동),,
서대문구,홍은동,노인의료복지시설,홍은노인요양시설,서울특별시 서대문구 홍은중앙로9길 21 (홍은동),,
관악구,신림동,노인의료복지시설,한보리노인요양센타,서울특별시 관악구 난향길 5 태성빌딩 3층,,
금천구,시흥동,노인의료복지시설,로뎀복지요양원,서울특별시 금천구 시흥대로59길 20,,
강동구,암사동,노인의료복지시설,흰돌장기요양센터1호점,서울특별시 강동구 구천면로 323 개나리프라자 6층,,
금천구,시흥동,노인의료복지시설,실버캐슬요양센터,서울특별시 금천구 시흥대로 202 대의빌딩 6층,,
관악구,봉천동,노인의료복지시설,관악노인종합사회복지관 병설 관악치매전문요양센터,서울특별시 관악구 보라매로 35 (봉천동),,
노원구,공릉동,노인의료복지시설,노원효사랑요양원,서울특별시 노원구 동일로173가길 37 선석빌딩 4층,,
금천구,시흥동,노인의료복지시설,청담노인복지센터,서울특별시 금천구 금하로29길 36금하로 29길 36,,
금천구,독산동,노인의료복지시설,임원요양원,서울특별시 금천구 독산로 359 (독산동),,
서대문구,홍은동,노인의료복지시설,백산실버홈,서울특별시 서대문구 모래내로 285 현대빌딩 4층,,
마포구,공덕동,노인의료복지시설,마포노인복지센터,서울특별시 마포구 만리재옛12길 6-2 (공덕동),,
동대문구,휘경동,노인의료복지시설,성심복지센터,서울특별시 동대문구 망우로 122-1 4층,,
동대문구,답십리동,노인의료복지시설,은나무요양원,서울특별시 동대문구 한천로 77 일신빌딩 3층,,
은평구,불광동,노인의료복지시설,로뎀요양원,서울특별시 은평구 통일로72길 31(불광동),,
성동구,금호동4가,노인의료복지시설,금호노인요양원,서울특별시 성동구 금호로 45정은타워 2층 (금호동4가),,
강동구,길동,노인의료복지시설,한사랑실버센터2호점,서울특별시 강동구 양재대로 1494 602호,,
중랑구,면목동,노인의료복지시설,축복재가장기노인요양원,서울특별시 중랑구 용마산로 389 석주빌딩 4층,,
영등포구,대림동,노인의료복지시설,참노인요양원(공동생활가정),서울특별시 영등포구 가마산로 373 주현빌딩 5층 ,,
영등포구,대림동,노인의료복지시설,주현노인요양원,서울특별시 영등포구 가마산로 373주현빌딩 5층 (대림동),,
송파구,마천동,노인의료복지시설,수실버간호센터,서울특별시 송파구 성내천로 2123층,,
서대문구,천연동,노인의료복지시설,서대문노인복지관요양센터,서울특별시 서대문구 독립문로8길 57 (천연동),,
은평구,녹번동,노인의료복지시설,엘림요양원,서울특별시 은평구 응암로 348(녹번동),,
양천구,신정동,노인의료복지시설,양천어르신종합복지관병설 양천어르신요양센터,서울특별시 양천구 목동로3길 106 (신정동),,
송파구,마천동,노인의료복지시설,은빛노인요양공동생활가정1,서울특별시 송파구 거마로 99,,
송파구,마천동,노인의료복지시설,은빛노인요양공동생활가정4,서울특별시 송파구 거마로 994층,,
강북구,미아동,노인의료복지시설,참사랑노인요양센터,서울특별시 강북구 오현로 32청우빌딩 6층 (미아동),,
광진구,자양동,노인의료복지시설,실버밸리노인요양공동생활가정,서울특별시 광진구 자양로 652층 (자양동),,
송파구,삼전동,노인의료복지시설,송파치매케어센터,서울특별시 송파구 백제고분로32길 41,,
강남구,논현동,노인의료복지시설,강남구립 논현요양센터,서울특별시 강남구 강남대로128길 59 (논현동),,
노원구,공릉동,노인의료복지시설,노원실버센터,서울특별시 노원구 동일로 1097 (공릉동),,
중랑구,망우동,노인의료복지시설,상봉요양원,서울특별시 중랑구 용마산로 494 상아빌딩 5층,,
강서구,방화동,노인의료복지시설,봄날서울요양원,서울특별시 강서구 양천로1길 100,,
구로구,고척동,노인의료복지시설,효도로노인전문요양원,서울특별시 구로구 경인로 393-7 (고척동),,
종로구,평창동,노인의료복지시설,인자인케어센터,서울특별시 종로구 평창17길 26 (평창동),,
양천구,신정동,노인의료복지시설,나눔의집,서울특별시 양천구 목동로23길 34 205호,,
성북구,보문동7가,노인의료복지시설,케어윌,서울특별시 성북구 보문로 50 (보문동7가),,
강남구,삼성동,노인의료복지시설,강남실버센터,서울특별시 강남구 삼성로 628 (삼성동),,
강북구,수유동,노인의료복지시설,푸른요양원1호점,서울특별시 강북구 도봉로81길 43 (수유동),,
관악구,신림동,노인의료복지시설,벧엘의집요양원,서울특별시 관악구 문성로 96 3층,,
노원구,상계동,노인의료복지시설,늘사랑실버센터,서울특별시 노원구 한글비석로 444교림노원프라자 5층 (상계동),,
중랑구,상봉동,노인의료복지시설,효원노인복지센터A,서울특별시 중랑구 상봉중앙로1길 12,,
강동구,길동,노인의료복지시설,한사랑실버센터1호점,서울특별시 강동구 양재대로 1494,,
송파구,석촌동,노인의료복지시설,포도나무실버타운2호점,서울특별시 송파구 가락로 2 6층,,
송파구,석촌동,노인의료복지시설,포도나무실버타운1호점,서울특별시 송파구 가락로 2 6층,,
강동구,명일동,노인의료복지시설,강동노인복지관 치매요양원,서울특별시 강동구 동남로71길 32-5강동노인종합복지관 5층 (명일동),,
광진구,자양동,노인의료복지시설,광진노인보호센터,서울특별시 광진구 뚝섬로58길 13(자양동),,
광진구,중곡동,노인의료복지시설,밝은요양원,서울특별시 광진구 긴고랑로 124층 (중곡동),,
중랑구,망우동,노인의료복지시설,예원요양원,서울특별시 중랑구 용마산로 554 동화빌딩 2층,,
중랑구,신내동,노인의료복지시설,유린원광노인요양원,서울특별시 중랑구 신내로 56 (신내동),,
서초구,염곡동,노인의료복지시설,사랑의집,서울특별시 서초구 탑성말길 26(염곡동 217-5),,
서대문구,합동,노인의료복지시설,중앙효노인요양공동생활가정,서울특별시 서대문구 서소문로 43-53,,
종로구,평창동,노인의료복지시설,평창동시니어센터,서울특별시 종로구 평창15길 10 (평창동),,
송파구,문정동,노인의료복지시설,에덴실버요양원,서울특별시 송파구 송이로 198-1,,
영등포구,대림동,노인의료복지시설,미래요양원,서울특별시 영등포구 대림로 88 재상빌딩 4층,,
서대문구,홍은동,노인의료복지시설,구립서대문노인전문요양센터,서울특별시 서대문구 홍지문2길 59 (홍은동),,
성북구,하월곡동,노인의료복지시설,사회복지법인 진각복지재단 진각홈케어 성북센터,서울특별시 성북구 화랑로 215층 (하월곡동),,
성동구,상왕십리동,노인의료복지시설,이암요양원,서울특별시 성동구 마장로 125 (상왕십리동),,
성북구,상월곡동,노인의료복지시설,늘푸른요양원,서울특별시 성북구 장월로1길 604층 (상월곡동),,
도봉구,창동,노인의료복지시설,해피데이공동생활가정,서울특별시 도봉구 해등로21 나동 104호 (창동),,
서대문구,홍은동,노인의료복지시설,노인요양시설 실버스토리,서울특별시 서대문구 모래내로 330 (홍은동),,
구로구,오류동,노인의료복지시설,삼농실버마을,서울특별시 구로구 오류로8길 84 (오류동),,
도봉구,쌍문동,노인의료복지시설,참빛요양원,서울특별시 도봉구 도봉로 6399층 (쌍문동),,
중랑구,묵동,노인의료복지시설,사랑과섬김요양원,서울특별시 중랑구 동일로 905,,
동작구,신대방동,노인의료복지시설,보라매요양원2호점,서울특별시 동작구 보라매로 88-088 (신대방동),,
동작구,신대방동,노인의료복지시설,보라매요양원1호점,서울특별시 동작구 보라매로 88-088 (신대방동),,
양천구,신월동,노인의료복지시설,사랑초요양원,서울특별시 양천구 지양로 152 (신월동),,
광진구,구의동,노인의료복지시설,사랑재요양원,서울특별시 광진구 자양로 188 (구의동),,
용산구,한남동,노인의료복지시설,구립한남노인요양원,서울특별시 용산구 독서당로 103 (한남동),,
중랑구,중화동,노인의료복지시설,효심(가)요양원,서울특별시 중랑구 망우로 171 5층,,
중랑구,중화동,노인의료복지시설,효심(나)요양원,서울특별시 중랑구 망우로 171 5층,,
강남구,세곡동,노인의료복지시설,국민건강보험공단 서울요양원,서울특별시 강남구 헌릉로590길 50 (세곡동),,
금천구,독산동,노인의료복지시설,대한실버하우스,서울특별시 금천구 독산로78길 21(독산동),,
서대문구,북가좌동,노인의료복지시설,은혜실버노인요양공동생활가정,서울특별시 서대문구 응암로1길 8-4(북가좌동),,
도봉구,쌍문동,노인의료복지시설,사랑채요양종합복지센터,서울특별시 도봉구 도봉로133길34 1층 (쌍문동),,
도봉구,쌍문동,노인의료복지시설,도봉요양원,서울특별시 도봉구 도봉로601 401호 (쌍문동),,
영등포구,신길동,노인의료복지시설,어버이사랑노인의료복지센터1,서울특별시 영등포구 도림로318 4층 (신길동),,
영등포구,신길동,노인의료복지시설,어버이사랑노인의료복지센터2,서울특별시 영등포구 도림로318 5층 (신길동),,
영등포구,신길동,노인의료복지시설,어버이사랑노인의료복지센터3,서울특별시 영등포구 도림로318 6층 (신길동),,
성북구,장위동,노인의료복지시설,유민복지센터,서울특별시 성북구 장위로26길20 (장위동),,
노원구,상계동,노인의료복지시설,노원편안한요양원2,서울특별시 노원구 상계로27길12 3층 (상계동 경인빌딩),,
노원구,상계동,노인의료복지시설,노원편안한요양원1,서울특별시 노원구 상계로27길12 3층 (상계동 경인빌딩),,
강북구,수유동,노인의료복지시설,가온요양원2,서울특별시 강북구 한천로 10755층 (수유동),,
강북구,수유동,노인의료복지시설,가온요양원1,서울특별시 강북구 한천로 10753층 (수유동),,
강남구,일원동,노인의료복지시설,강남유명요양원,서울특별시 강남구 개포로140길32 5층 (일원동 원효빌딩),,
중랑구,망우동,노인의료복지시설,서울시립중랑노인전문요양원,서울특별시 중랑구 양원역로 38 (망우동 시립중랑노인전문요양원),,
관악구,신림동,노인의료복지시설,인애요양원,서울특별시 관악구 신림로169 201호 (신림동 영창빌딩),,
송파구,가락동,노인의료복지시설,가족사랑요양원,서울특별시 송파구 오금로36길 57 (가락동),,
송파구,가락동,노인의료복지시설,가락사랑요양원,서울특별시 송파구 오금로36길 573층 (가락동),,
강북구,미아동,노인의료복지시설,사랑나눔요양원2,서울특별시 강북구 도봉로 2434층 (미아동),,
도봉구,창동,노인의료복지시설,사랑재활요양원,서울특별시 도봉구 덕릉로59아길54 4층 (창동),,
은평구,역촌동,노인의료복지시설,은평요양원,서울특별시 은평구 진흥로 4734층 (역촌동),,
도봉구,방학동,노인의료복지시설,love사랑맞이요양원,서울특별시 도봉구 마들로649-20 8층 (방학동),,
도봉구,방학동,노인의료복지시설,A  도봉재활요양원,서울특별시 도봉구 도봉로152길26 6층 (방학동),,
중랑구,망우동,노인의료복지시설,'(협)효마을 중랑 노인요양공동생활가정,서울특별시 중랑구 용마공원로3길24-10 지층 (망우동),,
양천구,신정동,노인의료복지시설,목동조은요양원,서울특별시 양천구 중앙로 294명성빌딩 8층 (신정동),,
구로구,가리봉동,노인의료복지시설,휴림실버요양센터,서울특별시 구로구 디지털로27길 119B223 (가리봉동),,
영등포구,도림동,노인의료복지시설,21세기요양원 노인요양공동생활가정,서울특별시 영등포구 도신로69 4층층 (도림동),,
중랑구,망우동,노인의료복지시설,상봉요양원요양센터,서울특별시 중랑구 용마산로 485 (망우동),,
강북구,수유동,노인의료복지시설,봄날북한산요양원,서울특별시 강북구 4.19로 77 (수유동),,
은평구,신사동,노인의료복지시설,'(협)노인돌봄은평요양원,서울특별시 은평구 가좌로 3063층 (신사동),,
관악구,신림동,노인의료복지시설,난향요양원,서울특별시 관악구 남부순환로 1474 3층층 (신림동),,
관악구,신림동,노인의료복지시설,난향요양원2,서울특별시 관악구 남부순환로 1470 4층층 (신림동),,
은평구,수색동,노인의료복지시설,수색실버케어,서울특별시 은평구 수색로272-1 (수색동),,
종로구,홍지동,노인의료복지시설,종로시니어스타워,서울특별시 종로구 홍지문길 29 (홍지동),,
광진구,자양동,노인의료복지시설,성동실버케어요양원,서울특별시 광진구 뚝섬로 6134층 (자양동),,
도봉구,도봉동,노인의료복지시설,다사랑요양원,서울특별시 도봉구 도봉로191길 88-6 (도봉동),,
도봉구,창동,노인의료복지시설,사랑재활요양원2호점,서울특별시 도봉구 덕릉로59아길 54-0 (창동)54 3층층 (창동 이순빌딩),,
중랑구,중화동,노인의료복지시설,효심(라)요양원,서울특별시 중랑구 망우로 171 6층층 (중화동),,
중랑구,중화동,노인의료복지시설,효심(다)요양원,서울특별시 중랑구 망우로 171 6층층 (중화동),,
관악구,신림동,노인의료복지시설,엔젤요양원,서울특별시 관악구 남부순환로 1432-7 401호호 (신림동 대우빌딩),,
관악구,신림동,노인의료복지시설,가나안요양원,서울특별시 관악구 조원로 24 601호호 (신림동 새한빌딩),,
강서구,내발산동,노인의료복지시설,수명산요양원,서울특별시 강서구 수명로2가길 25-16(내발산동 수명산요양원),,
노원구,상계동,노인의료복지시설,A 행복한그린요양원,서울특별시 노원구 동일로230나길 23 (상계동),,
도봉구,방학동,노인의료복지시설,사랑방요양원,서울특별시 도봉구 도봉로 727-1 (방학동)727-1 2층 (방학동),,
금천구,독산동,노인의료복지시설,주은요양원,서울특별시 금천구 시흥대로 487독산동 (독산동),,
강동구,강일동,노인의료복지시설,강일성모노인요양원,서울특별시 강동구 고덕로 476 (강일동),,
중랑구,묵동,노인의료복지시설,카멜리아요양원,서울특별시 중랑구 동일로933 7층층 (묵동 수정빌딩),,
도봉구,방학동,노인의료복지시설,꿈에그린요양원1,서울특별시 도봉구 방학로106 4층층 (방학동),,
구로구,천왕동,노인의료복지시설,구로 미가 요양원,서울특별시 구로구 천왕로 366층 (천왕동),,
도봉구,방학동,노인의료복지시설,도봉은빛요양원,서울특별시 도봉구 방학로106 5층 (방학동),,
강서구,화곡동,노인의료복지시설,강서사랑요양원,서울특별시 강서구 곰달래로 71 (화곡동),,
동대문구,제기동,노인의료복지시설,홍릉요양원,서울특별시 동대문구 제기로72 5층 (제기동 홍릉요양원),,
은평구,신사동,노인의료복지시설,'참좋은요양원,서울특별시 은평구 가좌로 3062층 (신사동),,
관악구,신림동,노인의료복지시설,삼성요양원,서울특별시 관악구 호암로401 501호호 (신림동),,
성북구,종암동,노인의료복지시설,종암요양원,서울특별시 성북구 종암로9길56 (종암동),,
강서구,등촌동,노인의료복지시설,햇살요양원,서울특별시 강서구 공항대로41길 34-0 (등촌동)34 (등촌동),,
강서구,화곡동,노인의료복지시설,참사랑실버케어,서울특별시 강서구 까치산로106 (화곡동),,
도봉구,방학동,노인의료복지시설,그린요양원,서울특별시 도봉구 방학로 115 2층 (방학동 그린빌딩),,
은평구,구산동,노인의료복지시설,주안요양원,서울특별시 은평구 서오릉로13길10 (구산동),,
강서구,화곡동,노인의료복지시설,밝은햇살요양원,서울특별시 강서구 강서로29길38 1층 (화곡동),,
