행정구,법정동,업종,이름,병상수,도로명전체주소
은평구,불광동,병원,수사랑한방병원,36,"서울특별시 은평구 통일로 906, 2,3층 (불광동, 해피플러스1)"
은평구,불광동,병원,수사랑한방병원,36,"서울특별시 은평구 통일로 906, 2,3층 (불광동, 해피플러스1)"
은평구,불광동,병원,수복지한방병원,36,서울특별시 은평구 통일로 906 (불광동)
용산구,한강로2가,병원,서울원광한방병원,36,서울특별시 용산구 한강대로40가길 24 (한강로2가)
용산구,이태원1동,병원,신명한방병원,56,"서울특별시 용산구 장문로 27 (이태원동,청화아파트 상가동 301호)"
은평구,녹번동,병원,참튼튼병원,47,"서울특별시 은평구 통일로 636, 지1, 1, 2층 (녹번동)"
은평구,녹번동,병원,한양치과병원,0,"서울특별시 은평구 통일로 620 (녹번동,지층,4층)"
은평구,응암동,병원,서울요양병원,148,"서울특별시 은평구 응암로 264 (응암동, 서울빌딩)"
서대문구,홍제1동,병원,늘푸른병원,71,서울특별시 서대문구 모래내로 460 (홍제동)
송파구,가락동,병원,나눔요양병원,284,서울특별시 송파구 송이로 111 (가락동)
송파구,잠실동,병원,선수촌병원,30,서울특별시 송파구 올림픽로 76 (잠실동)
송파구,가락동,병원,서울외과병원,97,"서울특별시 송파구 중대로 191 (가락동, 연세빌딩 전층)"
송파구,거여2동,병원,굿조인트병원,62,"서울특별시 송파구 오금로 513 (거여동, 위례빌딩 2,3,4,5,6,7,8층)"
송파구,삼전동,병원,송파치과병원,0,서울특별시 송파구 백제고분로 268 (삼전동)
송파구,거여동,병원,굿조인트병원,94,"서울특별시 송파구 오금로 513 (거여동,위례빌딩 2,6,7층)"
종로구,종로2가,병원,밀레니엄치과병원,0,서울특별시 종로구 종로 78 (종로2가)
성북구,동선동1가,병원,예스치과병원,0,"서울특별시 성북구 동소문로 118, 플라망스타워 1501,1502호 (동선동1가)"
성북구,하월곡동,병원,동서병원,79,"서울특별시 성북구 동소문로 306, 동서병원 (하월곡동)"
송파구,석촌동,병원,프리허그한방병원,30,"서울특별시 송파구 송파대로49길 37 (석촌동, 2층~5층)"
종로구,창신1동,병원,동대문요양병원,40,서울특별시 종로구 지봉로 29 (창신동)
종로구,돈의동,병원,춘원당한방병원,31,서울특별시 종로구 돈화문로9길 26 (돈의동)
송파구,송파동,병원,필립요양병원,134,서울특별시 송파구 백제고분로 405 (송파동)
송파구,삼전동,병원,송파병원,42,"서울특별시 송파구 백제고분로 268 (삼전동, 지하1층~지상7층)"
송파구,잠실동,병원,가인치과병원,0,"서울특별시 송파구 올림픽로 240, 7층 (잠실동, 롯데월드스포츠센터))"
송파구,마천동,병원,의료법인장원의료재단송파성모병원,60,서울특별시 송파구 거마로 68 (마천동)
송파구,오금동,병원,인애가한방병원,55,서울특별시 송파구 마천로15길 6 (오금동)
성북구,정릉1동,병원,연세요양병원,175,서울특별시 성북구 동소문로 215 (정릉동)
성북구,보문동4가,병원,심청요양병원,168,서울특별시 성북구 보문로 86 (보문동4가)
성북구,하월곡동,병원,서울연세요양병원,92,서울특별시 성북구 오패산로3길 147 (하월곡동)
성북구,장위동,병원,의료법인조광의료재단  주사랑병원,30,서울특별시 성북구 한천로 641 (장위동)
구로구,구로5동,병원,의료법인 고려수 의료재단 고려수요양병원,223,서울특별시 구로구 공원로6가길 4 (구로동)
구로구,개봉동,병원,의료법인 일명의료재단 승리요양병원,38,서울특별시 구로구 경인로 306 (개봉동)
구로구,개봉동,병원,의료법인일명의료재단 승리요양병원,38,서울특별시 구로구 경인로 306 (개봉동)
구로구,오류동,병원,의료법인 씨티의료재단 씨티병원,95,서울특별시 구로구 경인로 176 (오류동)
구로구,구로동,병원,우리모두들치과병원,0,"서울특별시 구로구 새말로 15 (구로동, 삼전솔하임)"
구로구,개봉동,병원,의료법인 일명의료재단 승리한방병원,38,"서울특별시 구로구 경인로 306 (개봉동, 미서빌딩)"
금천구,독산동,병원,효인요양병원,98,"서울특별시 금천구 남부순환로 1372, 5,6,7,8층 (독산동)"
양천구,신정동,병원,서울그린치과병원,0,"서울특별시 양천구 은행정로 5, 401호, 402호 (신정동, 에벤에셀빌딩)"
양천구,신월동,병원,세정한방병원,67,서울특별시 양천구 신월로 151 (신월동)
양천구,신월동,병원,서울인화요양병원,94,"서울특별시 양천구 신월로 156, 2,3,4층 (신월동)"
양천구,목동,병원,목동아이엠치과병원,0,"서울특별시 양천구 오목로 299 (목동, 목동트라팰리스 6층)"
양천구,신정동,병원,서울그린치과병원,0,"서울특별시 양천구 은행정로 5, 401호, 402호 (신정동, 에벤에셀빌딩)"
양천구,신월4동,병원,세정병원,67,서울특별시 양천구 신월로 151 (신월동)
중구,신당동,병원,동산요양병원,58,서울특별시 중구 다산로36길 11 (신당동)
중구,남대문로1가,병원,네모치과병원(명동점),0,"서울특별시 중구 남대문로 120 (남대문로1가,대일빌딩 11층)"
양천구,신월동,병원,서울세정병원,67,서울특별시 양천구 신월로 151 (신월동)
양천구,목동,병원,동서융합병원,30,서울특별시 양천구 등촌로 230 (목동)
양천구,목동,병원,아이토마토한방병원,32,"서울특별시 양천구 등촌로 230 (목동, 지하1층, 2층~6층)"
강북구,송중동,병원,서울병원,66,서울특별시 강북구 도봉로 114 (미아동)
강서구,과해동,병원,우리들병원,213,서울특별시 강서구 하늘길 70 (과해동)
강서구,화곡1동,병원,서울한방병원,38,서울특별시 강서구 곰달래로 54 (화곡동)
강서구,방화1동,병원,뉴강서성심병원,27,서울특별시 강서구 양천로 45-5 (방화동)
도봉구,방학동,병원,(사)한국지체장애인협회 새보람요양병원,73,"서울특별시 도봉구 방학로3길 13 (방학동, 상곡빌딩)"
도봉구,쌍문1동,병원,우이새길요양병원,185,서울특별시 도봉구 삼양로 610 (쌍문동)
도봉구,쌍문1동,병원,조이요양병원,199,서울특별시 도봉구 삼양로 600 (쌍문동)
강동구,길동,병원,길동노인요양병원,138,서울특별시 강동구 천호대로 1165 (길동)
강서구,등촌1동,병원,강서성모요양병원,127,서울특별시 강서구 화곡로 416 (등촌동)
강서구,화곡동,병원,비엠씨한방병원,61,서울특별시 강서구 화곡로 238 (화곡동)
강서구,가양동,병원,큰나무병원,66,"서울특별시 강서구 양천로57길 9-7, 2,4,5,8층 (가양동)"
강서구,방화동,병원,동인당효요양병원,119,"서울특별시 강서구 양천로1길 100 (방화동,,7,8,23,41)"
강서구,등촌1동,병원,엘더스요양병원,128,서울특별시 강서구 화곡로 416 (등촌동)
노원구,상계동,병원,노원스마트요양병원,253,"서울특별시 노원구 노원로 461, 3층, 4층 (상계동, 대감프라자)"
노원구,하계동,병원,서울휴먼요양병원,104,"서울특별시 노원구 노원로 246, 2,3,4,6층 (하계동, 욱현하이브)"
관악구,조원동,병원,신우신병원,63,서울특별시 관악구 시흥대로 572 (신림동)
관악구,신림동,병원,강남병원,78,서울특별시 관악구 시흥대로 572 (신림동)
동대문구,신설동,병원,동서울병원,57,서울특별시 동대문구 왕산로 18 (신설동)
관악구,청룡동,병원,본플러스병원,43,서울특별시 관악구 남부순환로 1782 (봉천동)
강서구,화곡동,병원,강서초이스병원,30,"서울특별시 강서구 화곡로 154, 4층, 5층, 6층 (화곡동, 청산타워빌딩)"
동대문구,청량리1동,병원,청량리정신병원,500,서울특별시 동대문구 제기로 142 (청량리동)
도봉구,방학동,병원,슈바이처치과병원,0,"서울특별시 도봉구 도봉로152길 26 (방학동, 렉시온프라자 305-308호)"
강서구,화곡동,병원,튼튼병원,30,"서울특별시 강서구 화곡로 154, 4,5,6층 (화곡동, 청산빌딩)"
강서구,방화동,병원,강서사랑요양병원,158,"서울특별시 강서구 양천로 35, 1~6층 (방화동)"
강동구,천호동,병원,(의)엘림의료재단 힐링요양병원,103,"서울특별시 강동구 올림픽로 684, 5,6층 (천호동)"
관악구,조원동,병원,의료법인우진의료재단관악분원조원병원,64,"서울특별시 관악구 시흥대로 572 (신림동,4,5,6층)"
강북구,번1동,병원,새한빛병원,147,서울특별시 강북구 한천로 1002 (번동)
강북구,수유동,병원,감인노인전문병원,40,서울특별시 강북구 삼각산로 20 (수유동)
강북구,송중동,병원,밀레니엄치과병원,0,서울특별시 강북구 도봉로 52 (미아동)
강북구,인수동,병원,의료법인성화의료재단대한한방병원,30,서울특별시 강북구 도봉로 301 (수유동)
관악구,신림동,병원,강남병원,67,"서울특별시 관악구 시흥대로 572, 4~6층 (신림동)"
강북구,미아동,병원,새한병원,99,서울특별시 강북구 도봉로 67 (미아동)
강동구,천호동,병원,사회복지법인소원의항구로뎀노인전문병원,255,서울특별시 강동구 올림픽로80길 31 (천호동)
강동구,천호2동,병원,의료법인 한국암치료재단 서울중입자병원,171,서울특별시 강동구 올림픽로 684 (천호동)
강동구,길동,병원,튼튼병원,99,서울특별시 강동구 천호대로 1133 (길동)
강동구,성내1동,병원,연세사랑병원,115,서울특별시 강동구 올림픽로 546 (성내동)
강동구,길동,병원,예닮요양병원,149,서울특별시 강동구 양재대로 1461 (길동)
강동구,천호동,병원,연세영동요양병원,253,서울특별시 강동구 구천면로 202 (천호동)
동대문구,답십리동,병원,서울편안한요양병원,120,서울특별시 동대문구 전농로 45 (답십리동)
동대문구,장안동,병원,브레인병원,108,서울특별시 동대문구 장한로32길 7 (장안동)
동대문구,청량리동,병원,경동요양병원,84,"서울특별시 동대문구 약령시로 124 (청량리동, 지하2~지상10층)"
노원구,공릉동,병원,서울스페셜병원,53,"서울특별시 노원구 동일로197길 11 (공릉동, 공삼빌딩)"
노원구,상계동,병원,새서울병원,40,"서울특별시 노원구 동일로 1678, 2층 (상계동, 모아빌딩)"
강동구,길동,병원,서울실버한방병원,153,서울특별시 강동구 진황도로 122 (길동)
강동구,천호동,병원,의료법인 한국암치료재단 헬스피아요양병원,104,"서울특별시 강동구 올림픽로 684, 5,6층 (천호동)"
강남구,삼성동,병원,유디성신치과병원,0,"서울특별시 강남구 테헤란로 411, 9층 (삼성동)"
노원구,상계동,병원,모네여성병원,30,"서울특별시 노원구 노원로 416, 모네여성병원 (상계동)"
강남구,논현2동,병원,아이엠치과병원,7,서울특별시 강남구 도산대로 214 (논현동)
강남구,대치동,병원,메르덴치과병원,0,"서울특별시 강남구 삼성로 432, 2,3층 (대치동)"
강남구,개포4동,병원,큰사랑노인전문병원,131,"서울특별시 강남구 논현로2길 30, 지하1층, 1~6층 (개포동)"
강남구,대치동,병원,네모치과병원,0,"서울특별시 강남구 선릉로90길 10 (대치동, 샹제리제센터 제B동 지하층 202호)"
강남구,청담동,병원,씨디씨어린이치과병원,0,"서울특별시 강남구 학동로97길 11, 2층,3층 (청담동)"
광진구,화양동,병원,최차혜병원,36,서울특별시 광진구 동일로30길 9 (화양동)
강남구,역삼동,병원,지앤지병원,31,"서울특별시 강남구 강남대로 390 (역삼동, 미진프라자 15층 16층일부 17층일부)"
강남구,역삼동,병원,청아치과병원,0,"서울특별시 강남구 테헤란로 125 (역삼동, 동찬빌딩)"
강남구,신사동,병원,그랜드성형외과병원,31,"서울특별시 강남구 도산대로 121, B6~B2, B1일부,지상1~5층, 6층일부, 7층~15층, (신사동)"
강남구,도곡동,병원,요나한방병원,30,"서울특별시 강남구 남부순환로 2645, 2층 (도곡동, 한독빌딩)"
강남구,신사동,병원,가우치과병원,0,"서울특별시 강남구 언주로171길 18, 9층 (신사동)"
강남구,역삼1동,병원,그린치과병원,0,"서울특별시 강남구 테헤란로 106, 3~5층 (역삼동)"
강남구,수서동,병원,베스필치과병원,0,"서울특별시 강남구 밤고개로1길 34, 2층 (수서동)"
강남구,역삼동,병원,(사) 대한사회복지회 한서병원,30,"서울특별시 강남구 논현로86길 21, 지하1층~4층 (역삼동)"
강남구,논현동,병원,자이비뇨기과병원,31,"서울특별시 강남구 논현로 609 (논현동, 2층, 3층일부, 4층)"
강남구,청담동,병원,예치과병원,0,"서울특별시 강남구 영동대로 734 (청담동,1층일부, 8층~12층)"
강남구,신사동,병원,에이플러스치과병원,0,"서울특별시 강남구 언주로 860 (신사동, 4,5,6층일부)"
강남구,신사동,병원,아이디치과병원,0,"서울특별시 강남구 압구정로 148 (신사동,3층)"
강남구,논현동,병원,한솔정형외과병원,32,서울특별시 강남구 학동로 309 (논현동)
강남구,청담동,병원,더청담병원,54,"서울특별시 강남구 도산대로 417 (청담동, 지하1층 1층 2층일부 3층~7층)"
강남구,청담동,병원,예치과병원,0,서울특별시 강남구 도산대로 523 (청담동)
강남구,청담동,병원,엠디병원,30,"서울특별시 강남구 선릉로 832, 4~7층 (청담동, 소나무빌딩)"
강남구,대치동,병원,한맘플러스병원,30,"서울특별시 강남구 역삼로 509 (대치동,3,4,5층)"
강남구,논현동,병원,바비페이스치과병원,9,서울특별시 강남구 강남대로 516 (논현동)
강남구,신사동,병원,이지앤성형외과병원,30,"서울특별시 강남구 압구정로30길 67 (신사동, 지하1,2층, 지상1층일부, 2,3,4,5층)"
강남구,역삼1동,병원,투데이치과병원,0,"서울특별시 강남구 테헤란로20길 5, 2층 (역삼동)"
마포구,창전동,병원,신촌리더스병원,42,"서울특별시 마포구 서강로 82, 2,4,5층 (창전동, 벽송빌딩)"
마포구,신수동,병원,의료법인 언양의료재단 조은병원,84,서울특별시 마포구 창전로 74 (신수동)
광진구,구의1동,병원,광진구의한방병원,52,서울특별시 광진구 광나루로 506 (구의동)
광진구,화양동,병원,동부병원,55,서울특별시 광진구 동일로 154 (화양동)
광진구,자양동,병원,리안요양병원,79,서울특별시 광진구 동일로 82-1 (자양동)
강남구,논현동,병원,제아치과병원,7,"서울특별시 강남구 강남대로 516, 2층,3층,5층 (논현동)"
강남구,도곡동,병원,세바른병원,30,서울특별시 강남구 강남대로 276 (도곡동)
성동구,금호동2가,병원,서울중앙병원,134,서울특별시 성동구 금호산길 41 (금호동2가)
성동구,행당1동,병원,의료법인구봉의료재단 세왕병원,78,서울특별시 성동구 왕십리로 269 (행당동)
서초구,서초4동,병원,유아이씨시카고 치과병원,0,"서울특별시 서초구 강남대로 399 (서초동,3층)"
성동구,용답동,병원,시온요양병원,165,"서울특별시 성동구 자동차시장1길 85, 지하1, 지상3~5층 (용답동)"
성동구,용답동,병원,효하수요양병원,93,서울특별시 성동구 자동차시장1길 85 (용답동)
성동구,용답동,병원,네오메디플러스치과병원,0,"서울특별시 성동구 천호대로 320, 3층 (용답동)"
성동구,용답동,병원,은혜요양병원,90,서울특별시 성동구 자동차시장1길 85 (용답동)
성동구,성수2가3동,병원,프라임병원,89,서울특별시 성동구 동일로 133 (성수동2가)
성동구,송정동,병원,제인한방병원,72,서울특별시 성동구 광나루로 243 (송정동)
서초구,양재1동,병원,독일웰치과병원,0,서울특별시 서초구 강남대로 220 (양재동)
서초구,서초4동,병원,서울그린치과병원,0,"서울특별시 서초구 강남대로 403 (서초동,9층)"
서초구,서초동,병원,사과나무치과병원,0,"서울특별시 서초구 강남대로 365, 4층 (서초동, 대우도씨에빌)"
영등포구,대림동,병원,서울복지한방병원,40,서울특별시 영등포구 도림로 142 (대림동)
영등포구,여의도동,병원,예림치과병원,0,"서울특별시 영등포구 의사당대로 97, 2층 (여의도동)"
서초구,서초4동,병원,원진바른얼굴치과병원,0,"서울특별시 서초구 강남대로 419 (서초동, 지하2층)"
서초구,양재2동,병원,함춘요양병원,49,서울특별시 서초구 논현로1길 13 (양재동)
영등포구,양평동1가,병원,오산당요양병원,100,"서울특별시 영등포구 선유로25길 6, 지하1층~지상5층 (양평동1가)"
서초구,서초동,병원,사람사랑치과병원,0,"서울특별시 서초구 강남대로 435, 13층 (서초동, 주류성빌딩)"
서초구,방배본동,병원,강남의림한방병원,50,서울특별시 서초구 동광로 5 (방배동)
영등포구,여의도동,병원,유디치과병원,0,"서울특별시 영등포구 국제금융로2길 25, 지하1층 (여의도동)"
중랑구,상봉2동,병원,서울J요양병원,49,서울특별시 중랑구 망우로 166-17 (상봉동)
은평구,불광동,병원,수사랑한방병원,36,"서울특별시 은평구 통일로 906, 2,3층 (불광동)"
강서구,등촌3동,병원,새희망의료생활협동조합 어울림요양병원,110,"서울특별시 강서구 공항대로41길 34, 8,9층 (등촌동)"
강서구,화곡4동,병원,따스한봄날처럼요양병원,197,"서울특별시 강서구 국회대로 233, 지1~지상6층 (화곡동)"
노원구,월계1동,병원,의선의료재단 선한이웃병원,173,"서울특별시 노원구 화랑로 323 (월계동,,30호)"
강북구,번동,병원,정인노인전문병원,99,"서울특별시 강북구 도봉로 388 (번동, 테마빌딩)"
강남구,논현동,병원,강남와이케이병원,54,"서울특별시 강남구 학동로 233, 디와이빌딩 3층 일부,4~6층 (논현동)"
서초구,서초동,병원,광덕안정한방병원,30,"서울특별시 서초구 강남대로 309, 코리아비지니스센타 2층 (서초동)"
광진구,구의동,병원,오석한방병원,42,"서울특별시 광진구 자양로 116, 301~307호,310~312호 (구의동, 웰츠타워)"
강동구,고덕동,병원,서울숲요양병원,345,"서울특별시 강동구 고덕로 295-60, 원케어메디컬타운 (고덕동)"
강서구,화곡동,병원,치유본한방병원,64,"서울특별시 강서구 화곡로 188, 더와이즈황병원 3~8층 (화곡동)"
성동구,하왕십리동,병원,재단법인베스티안재단베스티안서울병원,78,서울특별시 성동구 왕십리로 382 (하왕십리동)
관악구,신림동,병원,바른사랑병원,35,"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 3,7층 (신림동)"
영등포구,문래동6가,병원,서울삼성요양병원,250,"서울특별시 영등포구 선유로 51, 파인그라드빌딩 b1~8층 (문래동6가)"
강동구,천호동,병원,강동우리들요양병원,242,"서울특별시 강동구 구천면로 202, 행복타워빌딩 B2,2,3,4,6층 (천호동)"
강남구,논현동,병원,미니쉬치과병원,0,"서울특별시 강남구 언주로 728, 2,3,4,5,7,8,9,10층 (논현동)"
영등포구,신길동,병원,연세베스트요양병원,252,"서울특별시 영등포구 여의대방로 203 (신길동, 일이빌딩)"
영등포구,양평동1가,병원,한강수병원,72,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)"
영등포구,문래동2가,병원,로하스참사랑요양병원,106,서울특별시 영등포구 경인로77길 6 (문래동2가)
영등포구,영등포동4가,병원,덕수의료재단 덕수요양병원,173,서울특별시 영등포구 영신로34길 5 (영등포동4가)
영등포구,신길동,병원,재단법인한국산업보건환경연구소부설 해상병원,239,서울특별시 영등포구 신길로 173 (신길동)
서대문구,신촌동,병원,학교법인연세대학교치과대학치과병원,7,서울특별시 서대문구 연세로 50-1 (신촌동)
은평구,구산동,병원,하나효요양병원,192,"서울특별시 은평구 서오릉로 149, 세웅그룹빌딩 3~9층 (구산동)"
은평구,갈현동,병원,은평연세병원,52,서울특별시 은평구 연서로 177 (갈현동)
은평구,대조동,병원,문치과병원,0,서울특별시 은평구 통일로 809-1 (대조동)
중랑구,망우동,병원,늘찬병원,58,서울특별시 중랑구 봉우재로 234 (망우동)
중랑구,중화동,병원,디앤에프병원,66,"서울특별시 중랑구 봉화산로 64 (중화동, 디엔에프병원)"
영등포구,문래동3가,병원,서울센트럴요양병원,383,서울특별시 영등포구 경인로 767 (문래동3가)
영등포구,신길동,병원,어울림병원,57,"서울특별시 영등포구 영등포로 386 (신길동, 동인빌딩)"
영등포구,신길동,병원,서울바른병원,80,"서울특별시 영등포구 여의대방로 145, 2~7층 (신길동, 세인트빌딩)"
영등포구,영등포동6가,병원,새길병원,57,서울특별시 영등포구 영중로 59 (영등포동6가)
영등포구,영등포동8가,병원,닥터김앤박요양병원,139,"서울특별시 영등포구 영중로 133, 2~5층 (영등포동8가)"
영등포구,대림동,병원,초록나무요양병원,132,"서울특별시 영등포구 가마산로 368 (대림동, 메디칼빌딩)"
영등포구,대림동,병원,새롬한방병원,53,"서울특별시 영등포구 도신로 41 (대림동, 코스모메디칼)"
중랑구,신내동,병원,로하스동서울요양병원,128,"서울특별시 중랑구 봉화산로 194, 신아타운 4,5층 (신내동)"
중랑구,망우본동,병원,서울특별시 북부병원,200,서울특별시 중랑구 양원역로 38 (망우동)
영등포구,영등포동7가,병원,신화요양병원,172,서울특별시 영등포구 영중로 100 (영등포동7가)
영등포구,영등포동8가,병원,뉴서울성모요양병원,136,서울특별시 영등포구 영중로34길 6 (영등포동8가)
서대문구,홍은동,병원,효담요양병원,139,서울특별시 서대문구 통일로 544 (홍은동)
서대문구,남가좌동,병원,가자연세병원,47,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)"
서대문구,창천동,병원,잎사귀치과병원,0,"서울특별시 서대문구 연세로5길 26, 5,7,9층 (창천동)"
서대문구,홍제동,병원,제이여성병원,30,"서울특별시 서대문구 통일로 442 (홍제동, 제이여성병원)"
은평구,갈현동,병원,의료법인 청구성심병원,208,서울특별시 은평구 통일로 873 (갈현동)
은평구,응암2동,병원,서울특별시은평병원,220,서울특별시 은평구 백련산로 90 (응암동)
은평구,응암동,병원,시온한방병원,44,"서울특별시 은평구 응암로 267, 정원빌딩 (응암동)"
은평구,녹번동,병원,연세노블병원,98,서울특별시 은평구 서오릉로 37 (녹번동)
은평구,대조동,병원,서울병원,55,서울특별시 은평구 진흥로 191 (대조동)
은평구,구산동,병원,서울재활병원,83,서울특별시 은평구 갈현로11길 30 (구산동)
은평구,응암동,병원,인정병원,60,서울특별시 은평구 응암로 164 (응암동)
은평구,역촌동,병원,리드힐병원,41,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)"
은평구,불광동,병원,의료법인 성누가의료재단 성누가병원,30,"서울특별시 은평구 통일로 726, 불광메디컬타워 1~12층 (불광동)"
은평구,신사동,병원,21C메트로한방병원,32,"서울특별시 은평구 갈현로 24, 2층 201,202호 (신사동)"
은평구,응암동,병원,한국효요양병원,249,"서울특별시 은평구 은평로 170, 6층,7층,8층 (응암동, 상현빌딩동)"
은평구,갈현동,병원,로하스은평효요양병원,135,"서울특별시 은평구 연서로 209, 보성빌 2,3일부,4~6층 (갈현동)"
은평구,녹번동,병원,연세에덴요양병원,177,서울특별시 은평구 통일로 669 (녹번동)
은평구,녹번동,병원,최원호병원,90,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)"
은평구,응암동,병원,노블요양병원,136,"서울특별시 은평구 응암로 304, 지1, 1~7층 (응암동)"
용산구,이촌동,병원,금강아산병원(재단법인 아산사회복지재단),74,서울특별시 용산구 이촌로 318 (이촌동)
용산구,서계동,병원,소화병원(의료법인 소화병원),32,"서울특별시 용산구 청파로 383 (서계동, 소화아동병원)"
용산구,한남동,병원,순천향대학교 부속 서울병원,725,서울특별시 용산구 대사관로 59 (한남동)
은평구,역촌동,병원,서울특별시서북병원,456,서울특별시 은평구 갈현로7길 49 (역촌동)
서대문구,연희동,병원,강북연세요양병원,198,서울특별시 서대문구 성산로 335 (연희동)
중구,흥인동,병원,참바로병원,57,"서울특별시 중구 다산로 258, 2,3층 (흥인동, 리마크빌)"
중구,순화동,병원,광화문자생한방병원,50,"서울특별시 중구 통일로 92, 케이지타워 1,2,8층 (순화동)"
송파구,송파동,병원,서재곤링커병원,66,"서울특별시 송파구 백제고분로 436 (송파동, 서재곤링커병원)"
송파구,문정동,병원,민트병원,30,"서울특별시 송파구 정의로8길 7, 한스 (문정동)"
송파구,가락동,병원,자닮인요양병원,91,"서울특별시 송파구 송이로 81 (가락동, 르노삼성자동차)"
송파구,가락동,병원,혜민안과병원,32,서울특별시 송파구 중대로 122 (가락동)
송파구,석촌동,병원,올림픽병원,99,"서울특별시 송파구 백제고분로 283, 어깨동무빌딩 (석촌동)"
종로구,평동,병원,강북삼성병원,700,서울특별시 종로구 새문안로 29 (평동)
송파구,거여동,병원,송파새희망요양병원,137,"서울특별시 송파구 오금로 488, 삼원빌딩 (거여동)"
송파구,오금동,병원,의료법인일맥의료재단 인애가요양병원,137,"서울특별시 송파구 마천로15길 6, 인애가요양병원 (오금동)"
송파구,오금동,병원,의료법인참예원의료재단 송파참노인전문병원,200,"서울특별시 송파구 마천로 164, 송파참병원 (오금동)"
송파구,가락동,병원,서울석병원,51,서울특별시 송파구 송이로 148 (가락동)
송파구,송파동,병원,빠른병원,119,"서울특별시 송파구 백제고분로 405, 유니온테크송파빌딩 (송파동)"
송파구,마천동,병원,더사랑요양병원,124,"서울특별시 송파구 마천로 227, 보은빌딩 (마천동)"
송파구,신천동,병원,(本)본브릿지병원,44,"서울특별시 송파구 송파대로 562, 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)"
송파구,거여동,병원,송파미소병원,215,"서울특별시 송파구 오금로 513, 위례빌딩 (거여동)"
양천구,신정동,병원,홍익병원,240,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)"
양천구,목동,병원,이화여자대학교의과대학부속목동병원,700,서울특별시 양천구 안양천로 1071 (목동)
종로구,무악동,병원,세란병원,211,서울특별시 종로구 통일로 256 (무악동)
종로구,연건동,병원,서울대학교병원,1762,서울특별시 종로구 대학로 101 (연건동)
송파구,가락동,병원,드림요양병원,272,"서울특별시 송파구 송이로 111, B3-6층 (가락동, 청석빌딩)"
종로구,숭인동,병원,서울숭인병원,107,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)"
종로구,평창동,병원,로이병원,120,"서울특별시 종로구 평창문화로 75, 글로리아타운 2,3,5층 (평창동)"
송파구,송파1동,병원,강남힘찬병원,79,"서울특별시 송파구 백제고분로 407 (송파동, 지하 2층~7층)"
송파구,가락동,병원,의료법인마리아의료재단마리아병원,30,"서울특별시 송파구 송이로 152, 마리아 의료재단 새병원 (가락동)"
